ID	at.ID	Term	Ontology
GO:0000179	GO:0043790	rRNA (adenine-N6,N6-)-dimethyltransferase activity	MF
GO:0000212	GO:0043147	meiotic spindle organization	BP
GO:0000215	GO:0008665	tRNA 2'-phosphotransferase activity	MF
GO:0000244	GO:0000351	spliceosomal tri-snRNP complex assembly	BP
GO:0000244	GO:0000355	spliceosomal tri-snRNP complex assembly	BP
GO:0000253	GO:0050576	3-keto sterol reductase activity	MF
GO:0000268	GO:0005051	peroxisome targeting sequence binding	MF
GO:0000270	GO:0009284	peptidoglycan metabolic process	BP
GO:0000272	GO:0044244	polysaccharide catabolic process	BP
GO:0000278	GO:0007067	mitotic cell cycle	BP
GO:0000292	GO:0030452	RNA fragment catabolic process	BP
GO:0000310	GO:0009043	xanthine phosphoribosyltransferase activity	MF
GO:0000338	GO:0010388	protein deneddylation	BP
GO:0000348	GO:0000370	mRNA branch site recognition	BP
GO:0000348	GO:0000371	mRNA branch site recognition	BP
GO:0000349	GO:0000356	generation of catalytic spliceosome for first transesterification step	BP
GO:0000349	GO:0000357	generation of catalytic spliceosome for first transesterification step	BP
GO:0000350	GO:0000358	generation of catalytic spliceosome for second transesterification step	BP
GO:0000350	GO:0000359	generation of catalytic spliceosome for second transesterification step	BP
GO:0000354	GO:0000360	cis assembly of pre-catalytic spliceosome	BP
GO:0000354	GO:0000361	cis assembly of pre-catalytic spliceosome	BP
GO:0000375	GO:0000385	RNA splicing, via transesterification reactions	BP
GO:0000375	GO:0031202	RNA splicing, via transesterification reactions	BP
GO:0000388	GO:0000396	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	BP
GO:0000388	GO:0000397	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	BP
GO:0000389	GO:0000382	mRNA 3'-splice site recognition	BP
GO:0000389	GO:0000383	mRNA 3'-splice site recognition	BP
GO:0000390	GO:0000391	spliceosomal complex disassembly	BP
GO:0000390	GO:0000392	spliceosomal complex disassembly	BP
GO:0000395	GO:0000368	mRNA 5'-splice site recognition	BP
GO:0000395	GO:0000369	mRNA 5'-splice site recognition	BP
GO:0000398	GO:0006374	mRNA splicing, via spliceosome	BP
GO:0000398	GO:0006375	mRNA splicing, via spliceosome	BP
GO:0000418	GO:0000420	RNA polymerase IV complex	CC
GO:0000419	GO:0080137	RNA polymerase V complex	CC
GO:0000438	GO:0000443	core TFIIH complex portion of holo TFIIH complex	CC
GO:0000439	GO:0000441	transcription factor TFIIH core complex	CC
GO:0000440	GO:0000442	core TFIIH complex portion of NEF3 complex	CC
GO:0000444	GO:0000818	MIS12/MIND type complex	CC
GO:0000448	GO:0000490	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	BP
GO:0000462	GO:1990041	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	BP
GO:0000703	GO:0019004	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity	MF
GO:0000724	GO:0016924	double-strand break repair via homologous recombination	BP
GO:0000741	GO:0007335	karyogamy	BP
GO:0000743	GO:0006946	nuclear migration involved in conjugation with cellular fusion	BP
GO:0000747	GO:0007322	conjugation with cellular fusion	BP
GO:0000747	GO:0007333	conjugation with cellular fusion	BP
GO:0000747	GO:0030461	conjugation with cellular fusion	BP
GO:0000747	GO:0030477	conjugation with cellular fusion	BP
GO:0000749	GO:0007328	response to pheromone triggering conjugation with cellular fusion	BP
GO:0000749	GO:0030434	response to pheromone triggering conjugation with cellular fusion	BP
GO:0000750	GO:0007330	pheromone-dependent signal transduction involved in conjugation with cellular fusion	BP
GO:0000750	GO:0030454	pheromone-dependent signal transduction involved in conjugation with cellular fusion	BP
GO:0000751	GO:0030571	mitotic cell cycle G1 arrest in response to pheromone	BP
GO:0000752	GO:0007334	agglutination involved in conjugation with cellular fusion	BP
GO:0000753	GO:0007332	cell morphogenesis involved in conjugation with cellular fusion	BP
GO:0000754	GO:0007331	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion	BP
GO:0000754	GO:0030453	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion	BP
GO:0000755	GO:0000218	cytogamy	BP
GO:0000755	GO:0030462	cytogamy	BP
GO:0000770	GO:0007325	peptide pheromone export	BP
GO:0000775	GO:0097521	chromosome, centromeric region	CC
GO:0000776	GO:0000777	kinetochore	CC
GO:0000776	GO:0000778	kinetochore	CC
GO:0000776	GO:0005699	kinetochore	CC
GO:0000776	GO:0031617	kinetochore	CC
GO:0000779	GO:0000780	condensed chromosome, centromeric region	CC
GO:0000781	GO:0000784	chromosome, telomeric region	CC
GO:0000785	GO:0000789	chromatin	CC
GO:0000785	GO:0000790	chromatin	CC
GO:0000785	GO:0005717	chromatin	CC
GO:0000786	GO:0000787	nucleosome	CC
GO:0000786	GO:0000788	nucleosome	CC
GO:0000786	GO:0005718	nucleosome	CC
GO:0000791	GO:0005719	euchromatin	CC
GO:0000791	GO:0035327	euchromatin	CC
GO:0000792	GO:0005720	heterochromatin	CC
GO:0000792	GO:0035328	heterochromatin	CC
GO:0000795	GO:0005716	synaptonemal complex	CC
GO:0000796	GO:0000797	condensin complex	CC
GO:0000796	GO:0000799	condensin complex	CC
GO:0000796	GO:0005676	condensin complex	CC
GO:0000796	GO:0008620	condensin complex	CC
GO:0000796	GO:0008621	condensin complex	CC
GO:0000796	GO:0061814	condensin complex	CC
GO:0000902	GO:0007148	cell morphogenesis	BP
GO:0000902	GO:0045790	cell morphogenesis	BP
GO:0000902	GO:0045791	cell morphogenesis	BP
GO:0000910	GO:0007104	cytokinesis	BP
GO:0000910	GO:0016288	cytokinesis	BP
GO:0000910	GO:0033205	cytokinesis	BP
GO:0000915	GO:0045573	actomyosin contractile ring assembly	BP
GO:0000915	GO:2000708	actomyosin contractile ring assembly	BP
GO:0000917	GO:0071937	division septum assembly	BP
GO:0000917	GO:1902411	division septum assembly	BP
GO:0000920	GO:1902409	septum digestion after cytokinesis	BP
GO:0000920	GO:2000695	septum digestion after cytokinesis	BP
GO:0000922	GO:0030615	spindle pole	CC
GO:0000931	GO:0000924	gamma-tubulin ring complex	CC
GO:0000931	GO:0000925	gamma-tubulin ring complex	CC
GO:0000931	GO:0000926	gamma-tubulin ring complex	CC
GO:0000931	GO:0000929	gamma-tubulin ring complex	CC
GO:0000931	GO:0008274	gamma-tubulin ring complex	CC
GO:0000931	GO:0055031	gamma-tubulin ring complex	CC
GO:0000931	GO:0055032	gamma-tubulin ring complex	CC
GO:0000931	GO:0055033	gamma-tubulin ring complex	CC
GO:0000931	GO:0061494	gamma-tubulin ring complex	CC
GO:0000935	GO:0043187	division septum	CC
GO:0000939	GO:0000941	inner kinetochore	CC
GO:0000940	GO:0000942	outer kinetochore	CC
GO:0000976	GO:0000975	transcription cis-regulatory region binding	MF
GO:0000976	GO:0000984	transcription cis-regulatory region binding	MF
GO:0000976	GO:0001017	transcription cis-regulatory region binding	MF
GO:0000976	GO:0044212	transcription cis-regulatory region binding	MF
GO:0000977	GO:0001012	RNA polymerase II transcription regulatory region sequence-specific DNA binding	MF
GO:0000978	GO:0000980	RNA polymerase II cis-regulatory region sequence-specific DNA binding	MF
GO:0000981	GO:0000982	DNA-binding transcription factor activity, RNA polymerase II-specific	MF
GO:0000981	GO:0001133	DNA-binding transcription factor activity, RNA polymerase II-specific	MF
GO:0000981	GO:0001200	DNA-binding transcription factor activity, RNA polymerase II-specific	MF
GO:0000981	GO:0001201	DNA-binding transcription factor activity, RNA polymerase II-specific	MF
GO:0000981	GO:0001202	DNA-binding transcription factor activity, RNA polymerase II-specific	MF
GO:0000981	GO:0001203	DNA-binding transcription factor activity, RNA polymerase II-specific	MF
GO:0000981	GO:0003705	DNA-binding transcription factor activity, RNA polymerase II-specific	MF
GO:0000987	GO:0000986	cis-regulatory region sequence-specific DNA binding	MF
GO:0000987	GO:0001150	cis-regulatory region sequence-specific DNA binding	MF
GO:0000987	GO:0001158	cis-regulatory region sequence-specific DNA binding	MF
GO:0000987	GO:0001159	cis-regulatory region sequence-specific DNA binding	MF
GO:0000987	GO:0035326	cis-regulatory region sequence-specific DNA binding	MF
GO:0000995	GO:0001034	RNA polymerase III general transcription initiation factor activity	MF
GO:0001002	GO:0001030	RNA polymerase III type 1 promoter sequence-specific DNA binding	MF
GO:0001003	GO:0001031	RNA polymerase III type 2 promoter sequence-specific DNA binding	MF
GO:0001006	GO:0001032	RNA polymerase III type 3 promoter sequence-specific DNA binding	MF
GO:0001018	GO:0000997	mitochondrial promoter sequence-specific DNA binding	MF
GO:0001018	GO:0001044	mitochondrial promoter sequence-specific DNA binding	MF
GO:0001018	GO:0001045	mitochondrial promoter sequence-specific DNA binding	MF
GO:0001018	GO:0070361	mitochondrial promoter sequence-specific DNA binding	MF
GO:0001018	GO:0070362	mitochondrial promoter sequence-specific DNA binding	MF
GO:0001018	GO:0070363	mitochondrial promoter sequence-specific DNA binding	MF
GO:0001018	GO:0070364	mitochondrial promoter sequence-specific DNA binding	MF
GO:0001039	GO:0001037	RNA polymerase III hybrid type promoter sequence-specific DNA binding	MF
GO:0001046	GO:0000985	core promoter sequence-specific DNA binding	MF
GO:0001046	GO:0001047	core promoter sequence-specific DNA binding	MF
GO:0001109	GO:0001122	promoter clearance during DNA-templated transcription	BP
GO:0001112	GO:0001127	DNA-templated transcription open complex formation	BP
GO:0001147	GO:0001145	transcription termination site sequence-specific DNA binding	MF
GO:0001147	GO:0001146	transcription termination site sequence-specific DNA binding	MF
GO:0001147	GO:0001148	transcription termination site sequence-specific DNA binding	MF
GO:0001147	GO:0001160	transcription termination site sequence-specific DNA binding	MF
GO:0001161	GO:0044213	intronic transcription regulatory region sequence-specific DNA binding	MF
GO:0001163	GO:0001013	RNA polymerase I transcription regulatory region sequence-specific DNA binding	MF
GO:0001164	GO:0001187	RNA polymerase I core promoter sequence-specific DNA binding	MF
GO:0001165	GO:0001166	RNA polymerase I cis-regulatory region sequence-specific DNA binding	MF
GO:0001173	GO:0001176	DNA-templated transcriptional start site selection	BP
GO:0001182	GO:0001184	RNA polymerase I promoter clearance	BP
GO:0001188	GO:0001189	RNA polymerase I preinitiation complex assembly	BP
GO:0001192	GO:0001194	maintenance of transcriptional fidelity during transcription elongation	BP
GO:0001216	GO:0001140	DNA-binding transcription activator activity	MF
GO:0001216	GO:0001215	DNA-binding transcription activator activity	MF
GO:0001217	GO:0001141	DNA-binding transcription repressor activity	MF
GO:0001217	GO:0001218	DNA-binding transcription repressor activity	MF
GO:0001217	GO:0001219	DNA-binding transcription repressor activity	MF
GO:0001217	GO:0001220	DNA-binding transcription repressor activity	MF
GO:0001221	GO:0001224	transcription coregulator binding	MF
GO:0001222	GO:0001226	transcription corepressor binding	MF
GO:0001223	GO:0001225	transcription coactivator binding	MF
GO:0001227	GO:0001078	DNA-binding transcription repressor activity, RNA polymerase II-specific	MF
GO:0001227	GO:0001206	DNA-binding transcription repressor activity, RNA polymerase II-specific	MF
GO:0001227	GO:0001210	DNA-binding transcription repressor activity, RNA polymerase II-specific	MF
GO:0001227	GO:0001214	DNA-binding transcription repressor activity, RNA polymerase II-specific	MF
GO:0001228	GO:0001077	DNA-binding transcription activator activity, RNA polymerase II-specific	MF
GO:0001228	GO:0001205	DNA-binding transcription activator activity, RNA polymerase II-specific	MF
GO:0001228	GO:0001209	DNA-binding transcription activator activity, RNA polymerase II-specific	MF
GO:0001228	GO:0001211	DNA-binding transcription activator activity, RNA polymerase II-specific	MF
GO:0001228	GO:0001212	DNA-binding transcription activator activity, RNA polymerase II-specific	MF
GO:0001228	GO:0001213	DNA-binding transcription activator activity, RNA polymerase II-specific	MF
GO:0001410	GO:0055027	chlamydospore formation	BP
GO:0001562	GO:0042833	response to protozoan	BP
GO:0001588	GO:0001589	dopamine neurotransmitter receptor activity, coupled via Gs	MF
GO:0001588	GO:0001590	dopamine neurotransmitter receptor activity, coupled via Gs	MF
GO:0001591	GO:0001592	dopamine neurotransmitter receptor activity, coupled via Gi/Go	MF
GO:0001591	GO:0001593	dopamine neurotransmitter receptor activity, coupled via Gi/Go	MF
GO:0001591	GO:0001670	dopamine neurotransmitter receptor activity, coupled via Gi/Go	MF
GO:0001609	GO:0001610	G protein-coupled adenosine receptor activity	MF
GO:0001609	GO:0001611	G protein-coupled adenosine receptor activity	MF
GO:0001609	GO:0001612	G protein-coupled adenosine receptor activity	MF
GO:0001609	GO:0001613	G protein-coupled adenosine receptor activity	MF
GO:0001609	GO:0008501	G protein-coupled adenosine receptor activity	MF
GO:0001614	GO:0035586	purinergic nucleotide receptor activity	MF
GO:0001621	GO:0045032	G protein-coupled ADP receptor activity	MF
GO:0001634	GO:0016522	pituitary adenylate cyclase-activating polypeptide receptor activity	MF
GO:0001646	GO:0001644	cAMP receptor activity	MF
GO:0001654	GO:0042460	eye development	BP
GO:0001673	GO:0043081	male germ cell nucleus	CC
GO:0001674	GO:0043080	female germ cell nucleus	CC
GO:0001694	GO:0001693	histamine biosynthetic process	BP
GO:0001702	GO:0010003	gastrulation with mouth forming second	BP
GO:0001702	GO:0048276	gastrulation with mouth forming second	BP
GO:0001744	GO:0007457	insect visual primordium formation	BP
GO:0001748	GO:0048049	insect visual primordium development	BP
GO:0001752	GO:0007459	compound eye photoreceptor fate commitment	BP
GO:0001806	GO:0016069	type IV hypersensitivity	BP
GO:0001816	GO:0042032	cytokine production	BP
GO:0001816	GO:0042089	cytokine production	BP
GO:0001816	GO:0042107	cytokine production	BP
GO:0001816	GO:0050663	cytokine production	BP
GO:0001817	GO:0042035	regulation of cytokine production	BP
GO:0001817	GO:0050707	regulation of cytokine production	BP
GO:0001818	GO:0042036	negative regulation of cytokine production	BP
GO:0001818	GO:0050710	negative regulation of cytokine production	BP
GO:0001819	GO:0042108	positive regulation of cytokine production	BP
GO:0001819	GO:0050715	positive regulation of cytokine production	BP
GO:0001841	GO:0001679	neural tube formation	BP
GO:0001872	GO:0080087	(1->3)-beta-D-glucan binding	MF
GO:0001942	GO:0001943	hair follicle development	BP
GO:0002003	GO:0002005	angiotensin maturation	BP
GO:0002036	GO:1900920	regulation of L-glutamate import across plasma membrane	BP
GO:0002037	GO:1900921	negative regulation of L-glutamate import across plasma membrane	BP
GO:0002038	GO:1900922	positive regulation of L-glutamate import across plasma membrane	BP
GO:0002046	GO:0016030	opsin binding	MF
GO:0002162	GO:0002163	dystroglycan binding	MF
GO:0002162	GO:0002166	dystroglycan binding	MF
GO:0002213	GO:0002214	defense response to insect	BP
GO:0002215	GO:0002216	defense response to nematode	BP
GO:0002218	GO:0002219	activation of innate immune response	BP
GO:0002367	GO:0002374	cytokine production involved in immune response	BP
GO:0002367	GO:0002375	cytokine production involved in immune response	BP
GO:0002377	GO:0002378	immunoglobulin production	BP
GO:0002377	GO:0048305	immunoglobulin production	BP
GO:0002381	GO:0002379	immunoglobulin production involved in immunoglobulin-mediated immune response	BP
GO:0002381	GO:0002380	immunoglobulin production involved in immunoglobulin-mediated immune response	BP
GO:0002385	GO:0002386	mucosal immune response	BP
GO:0002385	GO:0002422	mucosal immune response	BP
GO:0002391	GO:0002390	platelet activating factor production involved in inflammatory response	BP
GO:0002391	GO:0002392	platelet activating factor production involved in inflammatory response	BP
GO:0002391	GO:0002535	platelet activating factor production involved in inflammatory response	BP
GO:0002443	GO:0019723	leukocyte mediated immunity	BP
GO:0002443	GO:0042087	leukocyte mediated immunity	BP
GO:0002637	GO:0002640	regulation of immunoglobulin production	BP
GO:0002637	GO:0051023	regulation of immunoglobulin production	BP
GO:0002638	GO:0002641	negative regulation of immunoglobulin production	BP
GO:0002638	GO:0051025	negative regulation of immunoglobulin production	BP
GO:0002639	GO:0002642	positive regulation of immunoglobulin production	BP
GO:0002639	GO:0051024	positive regulation of immunoglobulin production	BP
GO:0002715	GO:0045845	regulation of natural killer cell mediated immunity	BP
GO:0002716	GO:0030102	negative regulation of natural killer cell mediated immunity	BP
GO:0002717	GO:0045846	positive regulation of natural killer cell mediated immunity	BP
GO:0002718	GO:0002739	regulation of cytokine production involved in immune response	BP
GO:0002718	GO:0002742	regulation of cytokine production involved in immune response	BP
GO:0002719	GO:0002740	negative regulation of cytokine production involved in immune response	BP
GO:0002719	GO:0002743	negative regulation of cytokine production involved in immune response	BP
GO:0002720	GO:0002741	positive regulation of cytokine production involved in immune response	BP
GO:0002720	GO:0002744	positive regulation of cytokine production involved in immune response	BP
GO:0002753	GO:0039528	cytoplasmic pattern recognition receptor signaling pathway	BP
GO:0002758	GO:0009870	innate immune response-activating signaling pathway	BP
GO:0002758	GO:0010204	innate immune response-activating signaling pathway	BP
GO:0002949	GO:0070526	tRNA threonylcarbamoyladenosine modification	BP
GO:0003016	GO:0010802	respiratory system process	BP
GO:0003121	GO:0003123	epinephrine-mediated vasodilation	BP
GO:0003121	GO:0003124	epinephrine-mediated vasodilation	BP
GO:0003122	GO:0003125	norepinephrine-mediated vasodilation	BP
GO:0003122	GO:0003126	norepinephrine-mediated vasodilation	BP
GO:0003341	GO:0036142	cilium movement	BP
GO:0003352	GO:1900172	regulation of cilium movement	BP
GO:0003353	GO:1900174	positive regulation of cilium movement	BP
GO:0003354	GO:1900173	negative regulation of cilium movement	BP
GO:0003356	GO:0036144	regulation of cilium beat frequency	BP
GO:0003376	GO:0001789	sphingosine-1-phosphate receptor signaling pathway	BP
GO:0003674	GO:0005554	molecular_function	MF
GO:0003676	GO:0000496	nucleic acid binding	MF
GO:0003677	GO:0043566	DNA binding	MF
GO:0003678	GO:0003679	DNA helicase activity	MF
GO:0003678	GO:0004003	DNA helicase activity	MF
GO:0003689	GO:0033170	DNA clamp loader activity	MF
GO:0003697	GO:0003698	single-stranded DNA binding	MF
GO:0003697	GO:0003699	single-stranded DNA binding	MF
GO:0003700	GO:0000130	DNA-binding transcription factor activity	MF
GO:0003700	GO:0001071	DNA-binding transcription factor activity	MF
GO:0003700	GO:0001130	DNA-binding transcription factor activity	MF
GO:0003700	GO:0001131	DNA-binding transcription factor activity	MF
GO:0003700	GO:0001151	DNA-binding transcription factor activity	MF
GO:0003700	GO:0001199	DNA-binding transcription factor activity	MF
GO:0003700	GO:0001204	DNA-binding transcription factor activity	MF
GO:0003712	GO:0001104	transcription coregulator activity	MF
GO:0003712	GO:0016455	transcription coregulator activity	MF
GO:0003713	GO:0001105	transcription coactivator activity	MF
GO:0003714	GO:0001106	transcription corepressor activity	MF
GO:0003723	GO:0000498	RNA binding	MF
GO:0003723	GO:0044822	RNA binding	MF
GO:0003724	GO:0004004	RNA helicase activity	MF
GO:0003726	GO:0003971	double-stranded RNA adenosine deaminase activity	MF
GO:0003727	GO:0003728	single-stranded RNA binding	MF
GO:0003729	GO:0000499	mRNA binding	MF
GO:0003735	GO:0003736	structural constituent of ribosome	MF
GO:0003735	GO:0003737	structural constituent of ribosome	MF
GO:0003735	GO:0003738	structural constituent of ribosome	MF
GO:0003735	GO:0003739	structural constituent of ribosome	MF
GO:0003735	GO:0003740	structural constituent of ribosome	MF
GO:0003735	GO:0003741	structural constituent of ribosome	MF
GO:0003735	GO:0003742	structural constituent of ribosome	MF
GO:0003743	GO:0003744	translation initiation factor activity	MF
GO:0003743	GO:0003745	translation initiation factor activity	MF
GO:0003746	GO:0008182	translation elongation factor activity	MF
GO:0003746	GO:0008183	translation elongation factor activity	MF
GO:0003747	GO:0003748	translation release factor activity	MF
GO:0003747	GO:0003749	translation release factor activity	MF
GO:0003755	GO:0004752	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003755	GO:0042028	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003756	GO:0006467	protein disulfide isomerase activity	MF
GO:0003777	GO:1990939	microtubule motor activity	MF
GO:0003838	GO:0102101	sterol 24-C-methyltransferase activity	MF
GO:0003841	GO:0004469	1-acylglycerol-3-phosphate O-acyltransferase activity	MF
GO:0003843	GO:0009981	1,3-beta-D-glucan synthase activity	MF
GO:0003853	GO:0047119	2-methylbutanoyl-CoA dehydrogenase activity	MF
GO:0003863	GO:0003826	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity	MF
GO:0003878	GO:0046913	ATP citrate synthase activity	MF
GO:0003886	GO:0008326	DNA (cytosine-5-)-methyltransferase activity	MF
GO:0003887	GO:0003888	DNA-directed DNA polymerase activity	MF
GO:0003887	GO:0003889	DNA-directed DNA polymerase activity	MF
GO:0003887	GO:0003890	DNA-directed DNA polymerase activity	MF
GO:0003887	GO:0003891	DNA-directed DNA polymerase activity	MF
GO:0003887	GO:0003893	DNA-directed DNA polymerase activity	MF
GO:0003887	GO:0003894	DNA-directed DNA polymerase activity	MF
GO:0003887	GO:0003895	DNA-directed DNA polymerase activity	MF
GO:0003887	GO:0008723	DNA-directed DNA polymerase activity	MF
GO:0003887	GO:0015999	DNA-directed DNA polymerase activity	MF
GO:0003887	GO:0016000	DNA-directed DNA polymerase activity	MF
GO:0003887	GO:0016448	DNA-directed DNA polymerase activity	MF
GO:0003887	GO:0016449	DNA-directed DNA polymerase activity	MF
GO:0003887	GO:0016450	DNA-directed DNA polymerase activity	MF
GO:0003887	GO:0016451	DNA-directed DNA polymerase activity	MF
GO:0003887	GO:0016452	DNA-directed DNA polymerase activity	MF
GO:0003887	GO:0019984	DNA-directed DNA polymerase activity	MF
GO:0003896	GO:0003897	DNA primase activity	MF
GO:0003896	GO:0003898	DNA primase activity	MF
GO:0003899	GO:0000129	DNA-directed 5'-3' RNA polymerase activity	MF
GO:0003905	GO:0004036	alkylbase DNA N-glycosylase activity	MF
GO:0003916	GO:0009387	DNA topoisomerase activity	MF
GO:0003918	GO:0061505	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	MF
GO:0003924	GO:0061745	GTPase activity	MF
GO:0003925	GO:0003927	G protein activity	MF
GO:0003959	GO:0008468	NADPH dehydrogenase activity	MF
GO:0003959	GO:0016660	NADPH dehydrogenase activity	MF
GO:0003961	GO:0019282	O-acetylhomoserine aminocarboxypropyltransferase activity	MF
GO:0003962	GO:0000505	cystathionine gamma-synthase activity	MF
GO:0003973	GO:0008891	(S)-2-hydroxy-acid oxidase activity	MF
GO:0003973	GO:0052852	(S)-2-hydroxy-acid oxidase activity	MF
GO:0003973	GO:0052853	(S)-2-hydroxy-acid oxidase activity	MF
GO:0003973	GO:0052854	(S)-2-hydroxy-acid oxidase activity	MF
GO:0003992	GO:0047318	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity	MF
GO:0003994	GO:0052632	aconitate hydratase activity	MF
GO:0003995	GO:0019109	acyl-CoA dehydrogenase activity	MF
GO:0004031	GO:0050250	aldehyde oxidase activity	MF
GO:0004045	GO:0019850	aminoacyl-tRNA hydrolase activity	MF
GO:0004045	GO:0019851	aminoacyl-tRNA hydrolase activity	MF
GO:0004057	GO:0042172	arginyl-tRNA--protein transferase activity	MF
GO:0004058	GO:0016400	aromatic-L-amino-acid decarboxylase activity	MF
GO:0004092	GO:0004093	carnitine O-acetyltransferase activity	MF
GO:0004092	GO:0004094	carnitine O-acetyltransferase activity	MF
GO:0004096	GO:0016952	catalase activity	MF
GO:0004096	GO:0016953	catalase activity	MF
GO:0004097	GO:0036263	catechol oxidase activity	MF
GO:0004097	GO:0036264	catechol oxidase activity	MF
GO:0004097	GO:0102316	catechol oxidase activity	MF
GO:0004121	GO:0008799	cystathionine beta-lyase activity	MF
GO:0004123	GO:0016225	cystathionine gamma-lyase activity	MF
GO:0004165	GO:0008461	delta(3)-delta(2)-enoyl-CoA isomerase activity	MF
GO:0004166	GO:0004101	dolichyl-phosphate alpha-N-acetylglucosaminyltransferase activity	MF
GO:0004167	GO:0048059	dopachrome isomerase activity	MF
GO:0004175	GO:0016809	endopeptidase activity	MF
GO:0004176	GO:0004280	ATP-dependent peptidase activity	MF
GO:0004300	GO:0016510	enoyl-CoA hydratase activity	MF
GO:0004315	GO:0033817	3-oxoacyl-[acyl-carrier-protein] synthase activity	MF
GO:0004328	GO:0034566	formamidase activity	MF
GO:0004331	GO:0004330	fructose-2,6-bisphosphate 2-phosphatase activity	MF
GO:0004344	GO:0008708	glucose dehydrogenase activity	MF
GO:0004350	GO:0001513	glutamate-5-semialdehyde dehydrogenase activity	MF
GO:0004376	GO:0004580	glycolipid mannosyltransferase activity	MF
GO:0004379	GO:0019106	glycylpeptide N-tetradecanoyltransferase activity	MF
GO:0004386	GO:0008026	helicase activity	MF
GO:0004402	GO:0004403	histone acetyltransferase activity	MF
GO:0004402	GO:0004404	histone acetyltransferase activity	MF
GO:0004402	GO:0004405	histone acetyltransferase activity	MF
GO:0004402	GO:0004406	histone acetyltransferase activity	MF
GO:0004402	GO:0043166	histone acetyltransferase activity	MF
GO:0004402	GO:0046971	histone acetyltransferase activity	MF
GO:0004420	GO:0042282	hydroxymethylglutaryl-CoA reductase (NADPH) activity	MF
GO:0004438	GO:0016315	phosphatidylinositol-3-phosphate phosphatase activity	MF
GO:0004439	GO:0001668	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity	MF
GO:0004467	GO:0003996	long-chain fatty acid-CoA ligase activity	MF
GO:0004471	GO:0004472	malate dehydrogenase (decarboxylating) (NAD+) activity	MF
GO:0004471	GO:0016619	malate dehydrogenase (decarboxylating) (NAD+) activity	MF
GO:0004479	GO:0001718	methionyl-tRNA formyltransferase activity	MF
GO:0004479	GO:0070128	methionyl-tRNA formyltransferase activity	MF
GO:0004489	GO:0008702	methylenetetrahydrofolate reductase (NAD(P)H) activity	MF
